iter	Passed	Remaining
0	3	3932
1	8	4278
2	10	3408
3	12	3067
4	14	2817
5	16	2692
6	18	2694
7	20	2556
8	22	2429
9	23	2314
10	24	2211
11	25	2136
12	27	2063
13	28	2039
14	30	1984
15	31	1943
16	33	1909
17	34	1877
18	35	1848
19	37	1834
20	38	1775
21	38	1726
22	39	1669
23	40	1657
24	41	1612
25	42	1575
26	42	1538
27	43	1499
28	43	1463
29	44	1429
30	44	1397
31	45	1365
32	45	1337
33	46	1310
34	46	1288
35	47	1265
36	47	1242
37	48	1221
38	48	1201
39	49	1183
40	50	1183
41	51	1168
42	53	1179
43	53	1170
44	54	1160
45	55	1155
46	56	1148
47	57	1134
48	57	1119
49	58	1105
50	58	1092
51	59	1079
52	59	1066
53	60	1054
54	60	1041
55	61	1030
56	61	1021
57	62	1012
58	63	1005
59	63	997
60	64	989
61	64	981
62	65	972
63	66	966
64	66	963
65	67	958
66	68	953
67	68	944
68	69	937
69	69	929
70	70	921
71	70	913
72	71	906
73	72	902
74	72	895
75	73	888
76	73	881
77	74	875
78	74	869
79	75	863
80	75	857
81	76	850
82	76	844
83	77	846
84	78	841
85	78	835
86	79	830
87	79	825
88	80	820
89	80	817
90	81	813
91	82	810
92	83	809
93	83	808
94	84	804
95	85	800
96	85	797
97	86	792
98	86	788
99	87	787
100	88	783
101	88	780
102	89	779
103	90	779
104	91	781
105	92	778
106	93	777
107	94	777
108	95	779
109	96	781
110	97	780
111	98	779
112	98	776
113	99	774
114	100	772
115	100	769
116	101	766
117	102	763
118	102	761
119	103	759
120	104	758
121	105	756
122	105	753
123	106	755
124	107	754
125	108	750
126	108	747
127	109	744
128	109	741
129	110	737
130	110	734
131	111	731
132	111	729
133	112	726
134	112	722
135	113	719
136	113	717
137	114	714
138	115	712
139	115	709
140	116	707
141	116	705
142	117	702
143	117	700
144	118	697
145	118	695
146	119	692
147	119	690
148	120	688
149	121	686
150	121	685
151	122	683
152	123	681
153	123	679
154	124	678
155	124	676
156	125	674
157	126	673
158	126	671
159	127	669
160	128	667
161	128	666
162	129	664
163	130	663
164	130	661
165	131	660
166	132	659
167	132	657
168	133	656
169	134	654
170	134	652
171	135	650
172	135	649
173	136	648
174	137	646
175	137	645
176	138	643
177	138	641
178	139	639
